"firm_name","Year","Source of financials","Number of employees","Shareholders funds th USD","Cash flow [Net Income before D&A] th USD","P/L for period [=Net income] th USD","Net Income th USD","Short Term Debt, Net th USD","Long Term Debt, Net th USD","Total Debt Issued th USD","Investment in real estate th USD","Cash and cash equivalents th USD","Operating revenue (Turnover) th USD","Total assets th USD","Solvency ratio (Asset based)","Net debt th USD","Net assets th USD","Total liabilities th USD","Loans & Borrowings th USD","Depreciation th USD","Amortization & depletion th USD","Other non-operating and financial income (expenses) th USD","Amortization th USD","Equity in Net Earnings/Loss th USD","Purchase of Fixed Assets th USD","Capital Expenditures th USD","Software Development Costs th USD","Purchase/Acquisition of Intangibles th USD","Purchase of Investments th USD","Other Investing Cash Flow th USD","Financing Cash Flow Items th USD","Total Cash from Financing Activities th USD","Inactive","Quoted","Branch","OwnData","Woco","Country ISO code","NACE Rev. 2, core code (4 digits)","Consolidation code","VAT/Tax number","Tax Identification Number (TIN)","Ticker symbol","datinc","Type of entity","Size classification","No of companies in corporate group","Entity type","Number of directors & managers","US SIC, primary code(s)","ISIN number","Previous company name Latin Alphabet","Listing status","Market price - Year to date - High USD","Market price - Year to date - Low USD"
"KCR INVESTMENTS N.V.",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","NL",6420,"C2",858496574,858496574,NA,2018,"Financial company","Very large company",228,"Controlled subs.",7,6712,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2024,NA,9043,194127.999994159,93338.0804234743,17148.4994977713,NA,NA,NA,NA,NA,NA,1397405.9009856,1122088.18570375,17.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2023,NA,9148,169318.904246211,39095.1685318947,11291.5950853825,NA,NA,NA,NA,NA,NA,1255851.09803617,1070049.73944736,15.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2022,NA,9645,133004.772754669,30087.5995349884,-16950.3537197113,NA,NA,NA,NA,NA,NA,1350156.42632008,955073.30946064,13.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2021,NA,9688,141498.907848358,79431.9028795958,12665.0257024765,NA,NA,NA,NA,NA,NA,1267847.02315652,742254.804251194,19.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2020,NA,9931,106172.056137085,54273.0137939453,-1430.86839294434,NA,NA,NA,NA,NA,NA,1296561.3296814,809155.400634766,13.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2019,NA,9548,NA,NA,4470.5465567112,NA,NA,NA,NA,NA,NA,1124406.42940938,765987.678914666,7.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2018,NA,9394,NA,NA,-8423.11946773529,NA,NA,NA,NA,NA,NA,1261307.30999422,908555.839533329,12.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2017,NA,11225,NA,NA,6940.87846601009,NA,NA,NA,NA,NA,NA,1299548.77574408,995778.037842751,14.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2016,NA,10929,NA,NA,8229.05921018124,NA,NA,NA,NA,NA,NA,1318129.94675887,943496.138905644,17.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2015,NA,10022,NA,NA,19349.4353802204,NA,NA,NA,NA,NA,NA,1265704.29145837,1527683.84306693,30.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"VEOLIA ES (UK) LIMITED",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","GB",9609,"U1",NA,NA,NA,1990,"Corporate","Very large company",2115,"Controlled subs.",279,7299,NA,NA,NA,NA,NA
"ARBOR REALTY TRUST INC",2024,"10-K",630,2936996,293561,284829,353827,NA,1468946,NA,NA,534357,1176678,17038985,17.237,13027442,3071879,14101989,NA,-4032,-4700,14247,NA,-14247,NA,NA,NA,NA,-27598,-137490,-59096,1574368,"No","Yes","No","No","No","US",9499,"C1",NA,NA,"ABR",2003,"Corporate","Very large company",27,"GUO",379,6798,NA,NA,NA,17.74,10.1
