"","applicant_name","year","quarter","applied","awarded","location","tags","volume","negativity_rating","permanence","price","contractprice","current_cost_per_tonne","capex","opex","quantification","thirdparty verification","net_neg sequestration_todate","lifetime mtco2e","gross project emissions","offer_quantity","contract_quantity","R_and_D_offer","awarded_factor","realised_cost_decrease","price_contract_diff","quantity_contract_diff","awardednum","effective_date","decision_date","patent_name","patent_region","patent_no","patent_no_list","application_number","file_date","file_year","assignee","citations","abandoned","classification_1","classification_2","classification_3","classification_4","classification_5","classification_6","classification_7","classification_8","inventor_1","previous_application_stripe","sum_patents","treat_date"
"22","Vaulted",2022,2,1,0,NA,NA,NA,NA,NA,300,NA,291,NA,NA,NA,NA,NA,9506,198,9308,NA,NA,"0",9,0,0,0,NA,NA,"Method for biosolid disposal and methane generation",NA,NA,"AU-2002213006-B2",NA,2001-10-02,2001,"Geoenvironment Technologies Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman Bilak, Michael S. Bruno, Maurice B. Dusseault",0,5,NA
"23","Vaulted",2022,2,1,0,NA,NA,NA,NA,NA,300,NA,291,NA,NA,NA,NA,NA,9506,198,9308,NA,NA,"0",9,0,0,0,NA,NA,"Method for biosolid disposal and methane generation",NA,NA,"AU-2002213006-A1",NA,2001-10-02,2001,"Geoenvironment Technologies Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman Bilak, Michael S. Bruno, Maurice B. Dusseault",0,5,NA
"24","Vaulted",2022,2,1,0,NA,NA,NA,NA,NA,300,NA,291,NA,NA,NA,NA,NA,9506,198,9308,NA,NA,"0",9,0,0,0,NA,NA,"Method for biosolid disposal and methane generation",NA,NA,"CA-2559624-C",NA,2001-10-02,2001,"Michael S. Bruno, Maurice B. Dusseault, Terralog Technologies Inc., Terralog Technologies Usa, Inc., Roman Bilak, Geoenvironment Technologies Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Michael S. Bruno, Maurice B. Dusseault, Roman Bilak",0,5,NA
"25","Vaulted",2023,3,1,1,NA,"Biomass injection",NA,NA,NA,300,300,NA,NA,NA,NA,NA,NA,NA,NA,1666.66,1666,0,"1",NA,0,0.660000000000082,1,NA,NA,"Method for biosolid disposal and methane generation",NA,NA,"AU-2002213006-B2",NA,2001-10-02,2001,"Geoenvironment Technologies Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman Bilak, Michael S. Bruno, Maurice B. Dusseault",1,5,NA
"26","Vaulted",2023,3,1,1,NA,"Biomass injection",NA,NA,NA,300,300,NA,NA,NA,NA,NA,NA,NA,NA,1666.66,1666,0,"1",NA,0,0.660000000000082,1,NA,NA,"Method for biosolid disposal and methane generation",NA,NA,"AU-2002213006-A1",NA,2001-10-02,2001,"Geoenvironment Technologies Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman Bilak, Michael S. Bruno, Maurice B. Dusseault",1,5,NA
"27","Vaulted",2023,3,1,1,NA,"Biomass injection",NA,NA,NA,300,300,NA,NA,NA,NA,NA,NA,NA,NA,1666.66,1666,0,"1",NA,0,0.660000000000082,1,NA,NA,"Method for biosolid disposal and methane generation",NA,NA,"CA-2559624-C",NA,2001-10-02,2001,"Michael S. Bruno, Maurice B. Dusseault, Terralog Technologies Inc., Terralog Technologies Usa, Inc., Roman Bilak, Geoenvironment Technologies Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Michael S. Bruno, Maurice B. Dusseault, Roman Bilak",1,5,NA
"28","Vandersanden",2020,1,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,NA,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",NA,0,0,0,NA,NA,"Brick, provided with spacing means",NA,NA,"DE-20202566-U1",NA,2002-02-19,2002,"Steenfabriek Spijk B V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,NA
"29","Vaulted",2022,2,1,0,NA,NA,NA,NA,NA,300,NA,291,NA,NA,NA,NA,NA,9506,198,9308,NA,NA,"0",9,0,0,0,NA,NA,"Method for biosolid disposal and methane generation",NA,NA,"MY-127501-A",NA,2002-02-28,2002,"Geoenvironment Technologies Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Michael S Bruno, Maurice B Dusseault, Bilak Roman",0,5,NA
"30","Vaulted",2023,3,1,1,NA,"Biomass injection",NA,NA,NA,300,300,NA,NA,NA,NA,NA,NA,NA,NA,1666.66,1666,0,"1",NA,0,0.660000000000082,1,NA,NA,"Method for biosolid disposal and methane generation",NA,NA,"MY-127501-A",NA,2002-02-28,2002,"Geoenvironment Technologies Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Michael S Bruno, Maurice B Dusseault, Bilak Roman",1,5,NA
"31","Ekovilla",2020,1,1,0,"Kouvola, Finland","biomass,insulation",21847,1,50,21.5,NA,NA,NA,NA,NA,NA,21847,NA,NA,19031,NA,NA,"0",NA,0,0,0,NA,NA,"A method of making wood fiber insulation",NA,NA,"FI-20021237-A",NA,2002-06-24,2002,"Ekovilla Oy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reijo Louko",0,10,NA
"32","Ekovilla",2020,1,1,0,"Kouvola, Finland","biomass,insulation",21847,1,50,21.5,NA,NA,NA,NA,NA,NA,21847,NA,NA,19031,NA,NA,"0",NA,0,0,0,NA,NA,"Device for installing fiber insulation in a building element",NA,NA,"FI-20022275-A",NA,2002-12-23,2002,"Ekovilla Oy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tauno Valkeajaervi, Reijo Louko",0,10,NA
"33","Vandersanden",2020,1,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,NA,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",NA,0,0,0,NA,NA,"Wall assembled from bricks hung from mounting parts secured to support construction, has acute angle protrusions on mounting parts engaging with cavities in bricks",NA,NA,"BE-1015603-A3",NA,2003-07-11,2003,"Vandersanden Steenfabrieken N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,NA
"34","Vandersanden",2020,1,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,NA,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",NA,0,0,0,NA,NA,"Sciens skate guard",NA,NA,"WO-2005084762-A1",NA,2004-03-08,2004,"Gerard Anthony Vandersanden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gerard Anthony Vandersanden",0,16,NA
"35","Solugen",2021,2,1,0,"Texas, USA","biomass,injection",16384,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,9824,0.4,9824,NA,NA,"0",NA,0,0,0,NA,NA,"Water purification method, process and apparatus",NA,NA,NA,NA,2006-10-26,2006,"Daniel Blanchette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Daniel Blanchette",0,40,NA
"36","Vandersanden",2020,1,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,NA,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",NA,0,0,0,NA,NA,"Brick with upright edge, and method and brickwork effected therewith",NA,NA,"EP-1983122-A1",NA,2008-04-15,2008,"Huwa-Vandersanden B.V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mattheus Cornelis Martinus Van Leest",0,16,NA
"37","Vandersanden",2020,1,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,NA,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",NA,0,0,0,NA,NA,"Process fluid pressure transmitter with pressure transient detection",NA,NA,"WO-2009070703-A1",NA,2008-11-26,2008,"Rosemount, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrew J. Klosinski, Gregory J. Le Cuyer, Dale H. Perry, David L. Wehrs, Steve Vandersanden",0,16,NA
"38","Solugen",2021,2,1,0,"Texas, USA","biomass,injection",16384,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,9824,0.4,9824,NA,NA,"0",NA,0,0,0,NA,NA,"System for managing integration of printer and fax",NA,NA,NA,NA,2009-01-06,2009,"(ì£¼)ì†”ë£¨ì  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"í™ì¶˜ì‹, ê¹€ê²½ì„, ë°•ë¯¸ì„ , ì´ì§„ìˆ˜, ì´ì—°í¬",0,40,NA
"39","8 Rivers",2021,4,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,NA,NA,"Energy-saving electrical power system",NA,NA,"US-2010314940-A1",NA,2009-06-15,2009,"Palmer Miles R, Brown Jr Glenn William",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miles R. Palmer, Glenn William Brown, JR.",0,77,NA
"40","Ekovilla",2020,1,1,0,"Kouvola, Finland","biomass,insulation",21847,1,50,21.5,NA,NA,NA,NA,NA,NA,21847,NA,NA,19031,NA,NA,"0",NA,0,0,0,NA,NA,"Thermal insulation and process for making them",NA,NA,"FI-20095787-A0",NA,2009-07-13,2009,"Ekovilla Oy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reijo Louko, Heikki Ahonen",0,10,NA
"41","Vandersanden",2020,1,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,NA,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",NA,0,0,0,NA,NA,"Heat-expandable removable acrylic pressure-sensitive adhesive tape or sheet, and method of removing the same",NA,NA,"WO-2011048701-A1",NA,2009-10-20,2009,"Nitto Europe Nv, Nitto Denko Corporation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myriam Vandenholt, Greet Bossaert, Bart Forier, Gijs Vandersanden, Eiji Yamanaka, Naoaki Higuchi, Tooru Nakashima",0,16,NA
"42","Ekovilla",2020,1,1,0,"Kouvola, Finland","biomass,insulation",21847,1,50,21.5,NA,NA,NA,NA,NA,NA,21847,NA,NA,19031,NA,NA,"0",NA,0,0,0,NA,NA,"Wood fiber insulation and process for making them",NA,NA,"FI-20105125-A0",NA,2010-02-09,2010,"Ekovilla Oy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reijo Louko, Heikki Ahonen",0,10,NA
"43","Ekovilla",2020,1,1,0,"Kouvola, Finland","biomass,insulation",21847,1,50,21.5,NA,NA,NA,NA,NA,NA,21847,NA,NA,19031,NA,NA,"0",NA,0,0,0,NA,NA,"Thermal insulation product",NA,NA,"FI-20105124-L",NA,2010-02-09,2010,"Ekovilla Oy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reijo Louko, Heikki Ahonen",0,10,NA
"44","8 Rivers",2021,4,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,NA,NA,"Apparatus and method, associated system and device for the combustion of a high pressure and high temperature fuel.",NA,NA,"TR-201908661-T4",NA,2010-02-26,2010,"8 Rivers Capital Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palmer Miles, Allam Rodney, Brown Glenn Jr",0,77,NA
"45","Ekovilla",2020,1,1,0,"Kouvola, Finland","biomass,insulation",21847,1,50,21.5,NA,NA,NA,NA,NA,NA,21847,NA,NA,19031,NA,NA,"0",NA,0,0,0,NA,NA,"Protective impregnated thermal insulation and a method for its manufacture",NA,NA,"FI-124253-B",NA,2010-06-24,2010,"Ekovilla Oy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heikki Ahonen, Reijo Louko",0,10,NA
"46","Ecoera",2020,1,1,0,"South Sweden","biomass,biochar",4500,0,690,100,NA,NA,NA,NA,NA,NA,5000,NA,NA,2000,NA,NA,"0",NA,0,0,0,NA,NA,"Wood fiber based insulation product and method of producing the same",NA,NA,"EP-2462184-A1",NA,2010-08-09,2010,"Ekovilla OY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reijo Louko, Heikki Ahonen",0,1,NA
"47","Climeworks",2020,1,1,1,"Iceland","DAC",50,0,1000,767.5,775,NA,NA,NA,NA,NA,50,NA,NA,1,322.5,0,"1",NA,-7.5,-321.5,1,"18/05/2020",NA,"Artificial photosynthesis",NA,NA,"CA-2771660-A1",NA,2010-08-17,2010,"Paul O'connor, Antecy B.V., Climeworks Ag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paul O'connor",0,29,2020-05-18
"48","8 Rivers",2021,4,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,NA,NA,"Apparatus for combusting a fuel at high pressure and high temperature, and associated system",NA,NA,"US-9068743-B2",NA,2010-08-31,2010,"8 Rivers Capital, LLC & Palmer Labs, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miles R. Palmer, Rodney John Allam, Glenn William Brown, JR.",0,77,NA
"49","Vandersanden",2020,1,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,NA,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",NA,0,0,0,NA,NA,"Building brick and method for effecting brickwork therewith",NA,NA,"WO-2011092634-A1",NA,2011-01-26,2011,"Vandersanden Steenfabrieken N.V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hubertus Maria Jozef Neyens",0,16,NA
"50","8 Rivers",2021,4,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,NA,NA,"Apparatus for combusting a fuel at high pressure and high temperature, and associated system",NA,NA,"EP-2612075-B1",NA,2011-08-30,2011,"8 Rivers Capital, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miles R Palmer, Rodney John Allam, Glenn William Brown, Jr., Jeremy Eron Fetvedt",0,77,NA
"51","8 Rivers",2021,4,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,NA,NA,"Method of using carbon dioxide in recovery of formation deposits",NA,NA,"EP-2619406-B1",NA,2011-09-20,2011,"8 Rivers Capital, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miles R. Palmer, Rodney John Allam, Jeremy Eron Fetvedt, David Arthur Freed, Glenn William Brown, Jr.",0,77,NA
"52","Ekovilla",2020,1,1,0,"Kouvola, Finland","biomass,insulation",21847,1,50,21.5,NA,NA,NA,NA,NA,NA,21847,NA,NA,19031,NA,NA,"0",NA,0,0,0,NA,NA,"A lead-through member and arrangement for passing the heated profile through the receiving structure",NA,NA,"FI-U20114154-U0",NA,2011-10-26,2011,"Ekovilla Oy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ilkka Romppainen",0,10,NA
"53","CarbonCure",2020,1,1,1,"North America","Storage",60000,1,1000,100,100,NA,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",NA,0,117500,1,"18/05/2020",NA,"Carbon dioxide sequestration in concrete articles","Canada",NA,"CA-2821776-C",NA,2011-12-15,2011,"Carboncure Technologies Inc., Dean Forgeron, George Sean Monkman, Robert Niven",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Dean Forgeron, George Sean Monkman, Robert Niven",0,26,2020-05-18
"54","8 Rivers",2021,4,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,NA,NA,"Cryogenic air separation method and system",NA,NA,"US-9546814-B2",NA,2012-03-15,2012,"8 Rivers Capital, Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rodney John Allam, Jeremy Eron Fetvedt",0,77,NA
"55","Climeworks",2020,1,1,1,"Iceland","DAC",50,0,1000,767.5,775,NA,NA,NA,NA,NA,50,NA,NA,1,322.5,0,"1",NA,-7.5,-321.5,1,"18/05/2020",NA,"Distributed building-integrated carbon dioxide extraction system reducing fresh air requirements",NA,NA,"EP-2782657-A2",NA,2012-11-13,2012,"Climeworks Ag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan Andre Wurzbacher, Christoph Gebald",0,29,2020-05-18
"56","8 Rivers",2021,4,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,NA,NA,"Partial oxidation reaction with closed cycle quench",NA,NA,"AU-2013216767-B2",NA,2013-02-11,2013,"8 Rivers Capital, Llc, Palmer Labs, Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rodney John Allam, Jeremy Eron Fetvedt, Miles R. Palmer",0,77,NA
"57","Vandersanden",2020,1,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,NA,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",NA,0,0,0,NA,NA,"BUILDING BLOCK FOR MASONRY, THEMSELF BUILT-IN MASONRY AND METHOD FOR MASONING WITH THIS BUILDING BLOCK.",NA,NA,"BE-1020829-A5",NA,2013-02-20,2013,"Vandersanden Steenfabrieken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maarten Leen",0,16,NA
"58","8 Rivers",2021,4,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,NA,NA,"System and method for high efficiency power generation using a carbon dioxide circulating working fluid",NA,NA,"US-9062608-B2",NA,2013-03-14,2013,"Palmer Labs, Llc, 8 Rivers Capital, Llc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rodney John Allam, Miles R. Palmer, Glenn William Brown, JR.",0,77,NA
